"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2016년 06월 20일","207.85","208.82","209.61","207.75","82.79M","0.64%"
"2016년 06월 17일","206.52","207.17","207.20","205.75","117.06M","-0.89%"
"2016년 06월 16일","208.37","206.73","208.57","205.59","149.53M","0.30%"
"2016년 06월 15일","207.75","208.54","209.36","207.53","109.12M","-0.14%"
"2016년 06월 14일","208.04","208.00","208.74","206.92","125.06M","-0.20%"
"2016년 06월 13일","208.45","209.36","210.37","208.35","117.75M","-0.77%"
"2016년 06월 10일","210.07","210.46","210.86","209.43","113.83M","-0.95%"
"2016년 06월 09일","212.08","211.51","212.22","211.19","73.79M","-0.14%"
"2016년 06월 08일","212.37","211.84","212.52","211.69","66.17M","0.33%"
"2016년 06월 07일","211.68","211.53","212.34","211.50","60.97M","0.16%"
"2016년 06월 06일","211.35","210.70","211.77","210.51","64.89M","0.51%"
"2016년 06월 03일","210.28","210.25","210.69","208.86","101.76M","-0.30%"
"2016년 06월 02일","210.91","209.80","210.93","209.24","63.04M","0.30%"
"2016년 06월 01일","210.27","209.12","210.48","208.89","69.94M","0.20%"
"2016년 05월 31일","209.84","210.56","210.69","209.18","109.88M","-0.19%"
"2016년 05월 27일","210.24","209.53","210.25","209.47","64.21M","0.43%"
"2016년 05월 26일","209.34","209.44","209.71","208.97","55.28M","0.03%"
"2016년 05월 25일","209.28","208.67","209.77","207.87","79.22M","0.68%"
"2016년 05월 24일","207.87","206.17","208.24","206.14","93.54M","1.30%"
"2016년 05월 23일","205.21","205.51","205.84","204.99","58.68M","-0.14%"
"2016년 05월 20일","205.49","204.92","206.10","204.86","104.99M","0.63%"
"2016년 05월 19일","204.20","204.06","204.54","202.78","115.43M","-0.35%"
"2016년 05월 18일","204.91","204.44","206.30","203.63","123.49M","0.03%"
"2016년 05월 17일","204.85","206.46","206.80","204.23","114.92M","-0.93%"
"2016년 05월 16일","206.78","204.96","207.34","204.89","77.49M","0.99%"
"2016년 05월 13일","204.76","206.21","206.86","204.38","96.47M","-0.87%"
"2016년 05월 12일","206.56","207.29","207.49","205.37","89.59M","0.03%"
"2016년 05월 11일","206.50","207.91","208.54","206.50","81.73M","-0.94%"
"2016년 05월 10일","208.45","206.72","208.50","206.64","77.47M","1.24%"
"2016년 05월 09일","205.89","205.57","206.40","205.36","74.37M","0.08%"
"2016년 05월 06일","205.72","204.06","205.77","203.88","89.32M","0.37%"
"2016년 05월 05일","204.97","205.56","205.98","204.47","67.62M","-0.02%"
"2016년 05월 04일","205.01","204.99","205.85","204.42","92.24M","-0.56%"
"2016년 05월 03일","206.16","206.52","206.80","205.28","106.42M","-0.87%"
"2016년 05월 02일","207.97","206.92","208.18","206.41","62.19M","0.79%"
"2016년 04월 29일","206.33","206.72","207.13","205.03","142.42M","-0.54%"
"2016년 04월 28일","207.45","208.46","209.76","206.96","97.22M","-0.91%"
"2016년 04월 27일","209.35","208.47","209.81","208.05","77.33M","0.21%"
"2016년 04월 26일","208.92","209.04","209.52","208.36","75.86M","0.15%"
"2016년 04월 25일","208.61","208.26","208.66","207.54","66.17M","-0.17%"
"2016년 04월 22일","208.97","208.55","209.29","207.91","99.25M","0.00%"
"2016년 04월 21일","208.97","210.12","210.25","208.65","85.70M","-0.54%"
"2016년 04월 20일","210.10","209.95","210.92","209.39","81.10M","0.10%"
"2016년 04월 19일","209.90","209.74","210.20","208.94","88.32M","0.32%"
"2016년 04월 18일","209.24","207.14","209.28","207.00","82.53M","0.70%"
"2016년 04월 15일","207.78","208.01","208.17","207.40","75.76M","-0.11%"
"2016년 04월 14일","208.01","208.07","208.60","207.60","65.21M","0.00%"
"2016년 04월 13일","208.00","207.00","208.10","206.84","96.34M","1.01%"
"2016년 04월 12일","205.92","204.22","206.25","203.70","115.35M","0.93%"
"2016년 04월 11일","204.02","205.25","206.07","203.91","83.76M","-0.23%"
"2016년 04월 08일","204.50","205.34","205.85","203.87","95.04M","0.27%"
"2016년 04월 07일","203.95","205.14","205.56","203.09","113.86M","-1.20%"
"2016년 04월 06일","206.42","204.29","206.49","203.98","91.84M","1.09%"
"2016년 04월 05일","204.19","204.67","206.26","203.89","99.66M","-1.00%"
"2016년 04월 04일","206.25","206.83","207.07","205.89","63.50M","-0.32%"
"2016년 04월 01일","206.92","204.35","207.14","203.98","114.42M","0.68%"
"2016년 03월 31일","205.52","205.91","206.41","205.33","94.58M","-0.24%"
"2016년 03월 30일","206.02","206.30","206.87","205.59","86.37M","0.44%"
"2016년 03월 29일","205.12","202.76","205.25","202.40","92.92M","0.93%"
"2016년 03월 28일","203.24","203.61","203.86","202.71","62.41M","0.06%"
"2016년 03월 24일","203.12","202.00","203.16","201.74","84.36M","-0.04%"
"2016년 03월 23일","203.21","204.11","204.33","203.01","81.05M","-0.66%"
"2016년 03월 22일","204.56","203.76","205.23","203.57","97.47M","-0.05%"
"2016년 03월 21일","204.67","204.07","204.94","203.80","72.93M","0.14%"
"2016년 03월 18일","204.38","204.17","204.78","203.80","138.37M","-0.12%"
"2016년 03월 17일","204.63","203.24","205.23","202.77","134.28M","0.63%"
"2016년 03월 16일","203.34","201.60","203.82","201.55","129.30M","0.58%"
"2016년 03월 15일","202.17","201.36","202.53","201.05","93.17M","-0.16%"
"2016년 03월 14일","202.50","202.16","203.04","201.77","73.61M","-0.13%"
"2016년 03월 11일","202.76","201.26","202.81","199.52","137.96M","1.61%"
"2016년 03월 10일","199.54","199.96","201.07","197.38","156.84M","0.08%"
"2016년 03월 09일","199.38","199.36","199.79","198.43","94.80M","0.49%"
"2016년 03월 08일","198.40","199.32","199.92","198.21","123.97M","-1.09%"
"2016년 03월 07일","200.59","199.34","201.07","199.25","100.22M","0.08%"
"2016년 03월 04일","200.43","200.01","201.35","199.03","129.29M","0.33%"
"2016년 03월 03일","199.78","198.79","199.79","198.11","95.17M","0.39%"
"2016년 03월 02일","199.00","197.74","199.06","197.25","102.41M","0.45%"
"2016년 03월 01일","198.11","195.01","198.21","194.45","141.80M","2.35%"
"2016년 02월 29일","193.56","195.11","196.23","193.33","125.92M","-0.78%"
"2016년 02월 26일","195.09","196.57","196.68","194.90","129.83M","-0.23%"
"2016년 02월 25일","195.54","193.73","195.55","192.83","110.73M","1.21%"
"2016년 02월 24일","193.20","190.63","193.53","189.32","150.81M","0.46%"
"2016년 02월 23일","192.32","194.00","194.32","192.18","111.46M","-1.26%"
"2016년 02월 22일","194.78","193.87","194.95","193.79","103.64M","1.45%"
"2016년 02월 19일","192.00","191.17","192.18","190.45","114.79M","-0.05%"
"2016년 02월 18일","192.09","193.20","193.27","191.72","102.34M","-0.41%"
"2016년 02월 17일","192.88","191.16","193.32","191.01","136.01M","1.63%"
"2016년 02월 16일","189.78","188.77","189.81","187.63","120.25M","1.69%"
"2016년 02월 12일","186.63","184.96","186.65","183.96","127.63M","2.06%"
"2016년 02월 11일","182.86","182.34","184.10","181.09","219.06M","-1.30%"
"2016년 02월 10일","185.27","186.41","188.34","185.12","148.21M","-0.09%"
"2016년 02월 09일","185.43","183.36","186.94","183.20","184.51M","0.01%"
"2016년 02월 08일","185.42","185.77","186.12","182.80","191.53M","-1.35%"
"2016년 02월 05일","187.95","190.99","191.67","187.20","180.79M","-1.91%"
"2016년 02월 04일","191.60","190.71","192.75","189.96","139.53M","0.16%"
"2016년 02월 03일","191.30","191.41","191.78","187.10","205.05M","0.60%"
"2016년 02월 02일","190.16","191.96","191.97","189.54","182.56M","-1.80%"
"2016년 02월 01일","193.65","192.53","194.58","191.84","136.06M","-0.04%"
"2016년 01월 29일","193.72","190.02","193.88","189.88","210.53M","2.44%"
"2016년 01월 28일","189.11","189.96","190.20","187.16","143.80M","0.52%"
"2016년 01월 27일","188.13","189.58","191.56","187.06","185.68M","-1.09%"
"2016년 01월 26일","190.20","188.42","190.53","188.02","141.04M","1.36%"
"2016년 01월 25일","187.64","189.92","190.15","187.41","130.37M","-1.51%"
"2016년 01월 22일","190.52","189.78","190.76","188.88","168.32M","2.05%"
"2016년 01월 21일","186.69","186.21","188.87","184.64","195.77M","0.56%"
"2016년 01월 20일","185.65","185.03","187.50","181.02","286.55M","-1.28%"
"2016년 01월 19일","188.06","189.96","190.11","186.20","195.24M","0.13%"
"2016년 01월 15일","187.81","186.77","188.76","185.52","324.85M","-2.15%"
"2016년 01월 14일","191.93","189.55","193.26","187.66","240.80M","1.64%"
"2016년 01월 13일","188.83","194.45","194.86","188.38","221.17M","-2.49%"
"2016년 01월 12일","193.66","193.82","194.55","191.14","172.33M","0.81%"
"2016년 01월 11일","192.11","193.01","193.41","189.82","187.94M","0.10%"
"2016년 01월 08일","191.92","195.19","195.85","191.58","209.82M","-1.10%"
"2016년 01월 07일","194.05","195.33","197.44","193.59","213.44M","-2.40%"
"2016년 01월 06일","198.82","198.34","200.06","197.60","152.11M","-1.26%"
"2016년 01월 05일","201.36","201.40","201.90","200.05","110.85M","0.17%"
"2016년 01월 04일","201.02","200.49","201.03","198.59","222.35M","-1.40%"
